name,rating,industry,location,salary
TCS,3.4,IT Services & Consulting,Bangalore / Bengaluru +432 other locations,1.1L
Accenture,3.7,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,68k
Wipro,3.7,IT Services & Consulting,Hyderabad / Secunderabad +367 other locations,61k
Cognizant,3.7,IT Services & Consulting,Hyderabad / Secunderabad +225 other locations,57.9k
Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru +180 other locations,49.6k
HDFC Bank,3.8,Banking,Mumbai +1783 other locations,48k
Infosys,3.5,IT Services & Consulting,Bangalore / Bengaluru +239 other locations,45.6k
ICICI Bank,4.0,Banking,Mumbai +1417 other locations,43.7k
HCLTech,3.4,IT Services & Consulting,Chennai +223 other locations,42.7k
Tech Mahindra,3.4,IT Services & Consulting,Hyderabad / Secunderabad +328 other locations,40.8k
Genpact,3.6,IT Services & Consulting,Hyderabad / Secunderabad +175 other locations,39.1k
Teleperformance,3.8,BPO,Mumbai +251 other locations,35k
Axis Bank,3.7,Banking,Mumbai +1481 other locations,31k
Concentrix Corporation,3.6,BPO,Bangalore / Bengaluru +175 other locations,30.4k
Jio,4.3,Telecom,Mumbai +1787 other locations,29.7k
Amazon,4.0,Internet,Bangalore / Bengaluru +512 other locations,29.4k
iEnergizer,4.6,BPO,Noida +49 other locations,26.9k
Reliance Retail,3.9,Retail,Mumbai +1128 other locations,26k
IBM,3.9,IT Services & Consulting,Bangalore / Bengaluru +159 other locations,24.6k
LTIMindtree,3.6,IT Services & Consulting,Bangalore / Bengaluru +138 other locations,24.2k
